Castor,Kathy,USRepKCastor,,,,
Crist,Charlie,RepCharlieCrist,,,,
Demings,Val,RepValDemings,,,,
Deutch,Ted,RepTedDeutch,,,,
Diaz-Balart,Mario,MarioDB,,,,
Donalds,Byron,RepDonaldsPress,,,,
Dunn,Neal,DrNealDunnFL2,,,,
Frankel,Lois,RepLoisFrankel,,,,
Franklin,C.,Scott,RepFranklin,,,
Gaetz,Matt,RepMattGaetz,,,,
Gimenez,Carlos,A.,RepCarlos,,,
Hastings,Alcee,L.,RepHastingsFL,,,
Lawson,Al,RepAlLawsonJr,,,,
Mast,Brian,RepBrianMast,,,,
Murphy,Stephanie,RepStephMurphy,,,,
Posey,Bill,congbillposey,,,,
Rutherford,John,RepRutherfordFL,,,,
Salazar,Maria,Elvira,RepMariaSalazar,,,
Soto,Darren,RepDarrenSoto,,,,
Steube,W.,Gregory,RepGregSteube,,,
Waltz,Michael,michaelgwaltz,,,,
Wasserman Schultz,Debbie,RepDWStweets,,,,
Webster,Daniel,RepWebster,,,,
Wilson,Frederica,RepWilson,,,,
Allen,Rick,RepRickAllen,,,,
Bishop Jr.,Sanford,D.,SanfordBishop,,,
Bourdeaux,Carolyn,RepBourdeaux,,,,
Carter,Buddy,RepBuddyCarter,,,,
Clyde,Andrew,S.,GA,,,
Ferguson,A.,Drew,RepDrewFerguson,,,
Greene,Majorie,Taylor,RepMTG,,,
Hice,Jody,CongressmanHice,,,,
Johnson,Henry,C.,Hank,,,RepHankJohnson
Loudermilk,Barry,RepLoudermilk,,,,
McBath,Lucy,RepLucyMcBath,,,,
Scott,Austin,AustinScottGA08,,,,
Scott,David,repdavidscott,,,,
Williams,Nikema,RepNikema,,,,
San Nicolas,Michael,F.Q.,GuamCongressman,,,
Case,Ed,RepEdCase,,,,
Kahele,Kaiali'i,KaheleRep,,,,
Axne,Cindy,RepCindyAxne,,,,
Feenstra,Randy,RepFeenstra,,,,
Hinson,Ashley,RepAshleyHinson,,,,
Miller-Meeks,Mariannette,RepMMM,,,,
Fulcher,Russ,RepRussFulcher,,,,
Simpson,Mike,CongMikeSimpson,,,,
Bost,Mike,RepBost,,,,
Bustos,Cheri,RepCheri,,,,
Casten,Sean,RepCasten,,,,
Davis,Danny,K.,RepDannyDavis,,,
Davis,Rodney,RodneyDavis,,,,
Foster,Bill,RepBillFoster,,,,
Garcia,Jesus,Chuy,RepChuyGarcia,,,
Kelly,Robin,RepRobinKelly,,,,
