First,Last,State,Party
 Stephen F. ,Lynch,Massachusetts,Democratic
 Nancy ,Mace,South Carolina,Republican
 Tom ,Malinowski,New Jersey,Democratic
 Nicole ,Malliotakis,New York,Republican
 Carolyn B. ,Maloney,New York,Democratic
 Sean Patrick ,Maloney,New York,Democratic
 Joe,Manchin,West Virginia,Independent
 Tracey ,Mann,Kansas,Republican
 Kathy E. ,Manning,North Carolina,Democratic
 Edward J. ,Markey,Massachusetts,Democratic
 Roger ,Marshall,Kansas,Republican
 Thomas ,Massie,Kentucky,Republican
 Brian J. ,Mast,Florida,Republican
 Doris O. ,Matsui,California,Democratic
 Lucy ,McBath,Georgia,Democratic
 Kevin ,McCarthy,California,Republican
 Michael T. ,McCaul,Texas,Republican
 Lisa C. ,McClain,Michigan,Republican
 Tom ,McClintock,California,Republican
 Betty ,McCollum,Minnesota,Democratic
 Mitch ,McConnell,Kentucky,Republican
 A. Donald ,McEachin,Virginia,Democratic
 James P. ,McGovern,Massachusetts,Democratic
 Patrick T. ,McHenry,North Carolina,Republican
 David B. ,McKinley,West Virginia,Republican
 Cathy ,McMorris Rodgers,Washington,Republican
 Jerry ,McNerney,California,Democratic
 Gregory W. ,Meeks,New York,Democratic
 Peter ,Meijer,Michigan,Republican
 Robert ,Menendez,New Jersey,Democratic
 Grace ,Meng,New York,Democratic
 Jeff ,Merkley,Oregon,Democratic
 Daniel ,Meuser,Pennsylvania,Republican
 Kweisi ,Mfume,Maryland,Democratic
 Carol D. ,Miller,West Virginia,Republican
 Mary E. ,Miller,Illinois,Republican
,Miller,Iowa,Republican
 John R. ,Moolenaar,Michigan,Republican
 Alexander X. ,Mooney,West Virginia,Republican
 Barry ,Moore,Alabama,Republican
 Blake D. ,Moore,Utah,Republican
 Gwen ,Moore,Wisconsin,Democratic
 Jerry ,Moran,Kansas,Republican
 Joseph D. ,Morelle,New York,Democratic
 Seth ,Moulton,Massachusetts,Democratic
 Frank J. ,Mrvan,Indiana,Democratic
 Markwayne ,Mullin,Oklahoma,Republican
 Lisa ,Murkowski,Alaska,Republican
 Christopher ,Murphy,Connecticut,Democratic
 Gregory F. ,Murphy,North Carolina,Republican
 Stephanie N. ,Murphy,Florida,Democratic
 Patty ,Murray,Washington,Democratic
 Jerrold ,Nadler,New York,Democratic
 Grace F. ,Napolitano,California,Democratic
 Richard E. ,Neal,Massachusetts,Democratic
 Joe ,Neguse,Colorado,Democratic
 Troy E. ,Nehls,Texas,Republican
 Dan ,Newhouse,Washington,Republican
 Marie ,Newman,Illinois,Democratic
 Donald ,Norcross,New Jersey,Democratic
 Ralph ,Norman,South Carolina,Republican
 Eleanor Holmes ,Norton,District of Columbia,Democratic
 Devin ,Nunes,California,Republican
 Tom ,O'Halleran,Arizona,Democratic
 Jay ,Obernolte,California,Republican
,Ocasio,New York,Democratic
 Ilhan ,Omar,Minnesota,Democratic
 Jon ,Ossoff,Georgia,Democratic
 Burgess ,Owens,Utah,Republican
 Alex ,Padilla,California,Democratic
 Steven M. ,Palazzo,Mississippi,Republican
 Frank ,Pallone,New Jersey,Democratic
 Gary J. ,Palmer,Alabama,Republican
 Jimmy ,Panetta,California,Democratic
 Chris ,Pappas,New Hampshire,Democratic
